Datum/Uhrzeit;WirkleisungBezug;ScheinleistungBezug;BlindleistungBezug;WirkleisungLieferung;ScheinleistungLieferung;BlindleistungLieferung
15.06.2016 16:16:33;0;0;95,2;2881,1;2882,7;0
15.06.2016 16:16:34;0;0;80,8;2863,5;2864,6;0
15.06.2016 16:16:35;0;0;78,9;2839,8;2840,9;0
15.06.2016 16:16:36;0;0;48,8;2853,6;2854,1;0
15.06.2016 16:16:37;0;0;23;2890,1;2890,2;0
15.06.2016 16:16:38;0;0;7,9;2887,9;2887,9;0
15.06.2016 16:16:39;0;0;25;2864,7;2864,9;0
15.06.2016 16:16:40;0;0;43,6;2869,7;2870;0
15.06.2016 16:16:41;0;0;32,6;2877,5;2877,7;0
15.06.2016 16:16:42;0;0;11,4;2881,4;2881,4;0
15.06.2016 16:16:43;0;0;56,1;2880,5;2881,1;0
15.06.2016 16:16:44;0;0;34,9;2879,4;2879,6;0
15.06.2016 16:16:45;0;0;18,4;2874,9;2875;0
15.06.2016 16:16:46;0;0;22,1;2845,4;2845,5;0
15.06.2016 16:16:47;0;0;84,1;2835;2836,2;0
15.06.2016 16:16:48;0;0;87,3;2858,7;2860,1;0
15.06.2016 16:16:49;0;0;87;2857,4;2858,7;0
15.06.2016 16:16:50;0;0;82,6;2832,9;2834,1;0
15.06.2016 16:16:51;0;0;85,3;2828,7;2830;0
15.06.2016 16:16:52;0;0;84,1;2821;2822,2;0
15.06.2016 16:16:53;0;0;88;2826,4;2827,8;0
15.06.2016 16:16:54;0;0;80,8;2829,5;2830,6;0
15.06.2016 16:16:55;0;0;79,1;2825,8;2826,9;0
15.06.2016 16:16:56;0;0;79,6;2824,2;2825,3;0
15.06.2016 16:16:57;0;0;79,7;2816,9;2818;0
15.06.2016 16:16:58;0;0;69,6;2807,8;2808,7;0
15.06.2016 16:16:59;0;0;70,9;2798,1;2799;0
15.06.2016 16:17:00;0;0;78,3;2821,7;2822,8;0
15.06.2016 16:17:01;0;0;83,9;2821,7;2823;0
15.06.2016 16:17:02;0;0;82,2;2810,7;2811,9;0
15.06.2016 16:17:03;0;0;72,8;2789,2;2790,2;0
15.06.2016 16:17:04;0;0;69,2;2785,6;2786,4;0
15.06.2016 16:17:05;0;0;69,9;2800,7;2801,6;0
15.06.2016 16:17:06;0;0;74,5;2801,8;2802,8;0
15.06.2016 16:17:07;0;0;64;2799,5;2800,2;0
15.06.2016 16:17:08;0;0;65,7;2796,1;2796,9;0
15.06.2016 16:17:09;0;0;67,9;2806,5;2807,3;0
15.06.2016 16:17:10;0;0;60,9;2787,7;2788,3;0
15.06.2016 16:17:11;0;0;55,3;2781,1;2781,6;0
15.06.2016 16:17:12;0;0;52,4;2790,3;2790,8;0
15.06.2016 16:17:13;0;0;59,2;2777;2777,6;0
15.06.2016 16:17:14;0;0;48,3;2773,6;2774;0
15.06.2016 16:17:15;0;0;20,6;2776,2;2776,2;0
15.06.2016 16:17:16;0;0;0;2770,5;2770,5;19,7
15.06.2016 16:17:17;0;0;0;2768,5;2768,9;45,6
15.06.2016 16:17:18;0;0;0;2771;2771;17,2
15.06.2016 16:17:19;0;0;0;2760,3;2760,6;41
15.06.2016 16:17:20;0;0;1,6;2761,2;2761,2;0
15.06.2016 16:17:21;0;0;0;2758,7;2758,7;13,1
15.06.2016 16:17:22;0;0;0;2732,6;2732,8;27,2
15.06.2016 16:17:23;0;0;0;2722,3;2722,5;37,6
15.06.2016 16:17:24;0;0;0;2738,4;2738,6;28,4
15.06.2016 16:17:25;0;0;21,9;2735,2;2735,3;0
15.06.2016 16:17:26;0;0;20;2738,1;2738,1;0
15.06.2016 16:17:27;0;0;31,7;2733,1;2733,3;0
15.06.2016 16:17:28;0;0;10,5;2735,3;2735,3;0
15.06.2016 16:17:29;0;0;9,3;2729,7;2729,7;0
15.06.2016 16:17:30;0;0;0;2721,5;2721,6;25,6
15.06.2016 16:17:31;0;0;0;2730,7;2730,8;20,7
15.06.2016 16:17:32;0;0;22,6;2727,7;2727,8;0
15.06.2016 16:17:33;0;0;36,8;2722,8;2723,1;0
15.06.2016 16:17:34;0;0;29,7;2709,9;2710;0
15.06.2016 16:17:35;0;0;37,4;2697,2;2697,5;0
15.06.2016 16:17:36;0;0;27,1;2705,9;2706;0
15.06.2016 16:17:37;0;0;32,6;2699,9;2700,1;0
15.06.2016 16:17:38;0;0;32,3;2709,3;2709,5;0
15.06.2016 16:17:39;0;0;39,9;2700,1;2700,4;0
15.06.2016 16:17:40;0;0;48,3;2702,5;2703;0
15.06.2016 16:17:41;0;0;45,4;2692,4;2692,8;0
15.06.2016 16:17:42;0;0;40,5;2681,6;2681,9;0
15.06.2016 16:17:43;0;0;41,5;2682,8;2683,1;0
15.06.2016 16:17:44;0;0;46,7;2677,3;2677,7;0
15.06.2016 16:17:45;0;0;43,5;2693,4;2693,7;0
15.06.2016 16:17:46;0;0;42,9;2691,3;2691,6;0
15.06.2016 16:17:47;0;0;38,1;2685;2685,3;0
15.06.2016 16:17:48;0;0;36,1;2692,1;2692,3;0
15.06.2016 16:17:49;0;0;36,9;2688,7;2689;0
15.06.2016 16:17:50;0;0;38,6;2690,8;2691,1;0
15.06.2016 16:17:51;0;0;36,8;2681,9;2682,1;0
15.06.2016 16:17:52;0;0;21,8;2651,9;2652;0
15.06.2016 16:17:53;0;0;21,2;2647,9;2647,9;0
15.06.2016 16:17:54;0;0;20,5;2638,4;2638,5;0
15.06.2016 16:17:55;0;0;19,1;2641,2;2641,2;0
15.06.2016 16:17:56;0;0;12,6;2652,8;2652,8;0
15.06.2016 16:17:57;0;0;21,3;2653,6;2653,7;0
15.06.2016 16:17:58;0;0;20,3;2653,1;2653,1;0
15.06.2016 16:17:59;0;0;2,4;2630,4;2630,4;0
15.06.2016 16:18:00;0;0;5,6;2644,8;2644,8;0
15.06.2016 16:18:01;0;0;20,3;2659,8;2659,8;0
15.06.2016 16:18:02;0;0;26,6;2663,3;2663,4;0
15.06.2016 16:18:03;0;0;24,1;2654;2654,1;0
15.06.2016 16:18:04;0;0;23;2653,4;2653,5;0
15.06.2016 16:18:05;0;0;24,8;2628,6;2628,7;0
15.06.2016 16:18:06;0;0;6,6;2624,1;2624,1;0
15.06.2016 16:18:07;0;0;0;2595,4;2595,4;10,8
15.06.2016 16:18:08;0;0;0;2603;2603,2;28,6
15.06.2016 16:18:09;0;0;0,4;2591;2591;0
15.06.2016 16:18:10;0;0;7,9;2572,6;2572,6;0
15.06.2016 16:18:11;0;0;21,6;2564,5;2564,6;0
15.06.2016 16:18:12;0;0;15,3;2565,3;2565,4;0
15.06.2016 16:18:13;0;0;28,9;2568,6;2568,8;0
15.06.2016 16:18:14;0;0;28,7;2571,2;2571,3;0
15.06.2016 16:18:15;0;0;33,3;2560,4;2560,6;0
15.06.2016 16:18:16;0;0;32,7;2568,5;2568,7;0
15.06.2016 16:18:17;0;0;29,9;2557,6;2557,8;0
15.06.2016 16:18:18;0;0;23,8;2553,8;2553,9;0
15.06.2016 16:18:19;0;0;33,4;2561,8;2562;0
15.06.2016 16:18:20;0;0;25,4;2566,2;2566,3;0
15.06.2016 16:18:21;0;0;25,9;2566,8;2566,9;0
15.06.2016 16:18:22;0;0;13,3;2564,2;2564,2;0
15.06.2016 16:18:23;0;0;6,8;2554;2554;0
15.06.2016 16:18:24;0;0;0;2555,6;2555,7;22,7
15.06.2016 16:18:25;0;0;0;2550,9;2551;22,1
15.06.2016 16:18:26;0;0;1,7;2553,9;2553,9;0
15.06.2016 16:18:27;0;0;0;2559,8;2559,8;11,8
15.06.2016 16:18:28;0;0;0;2558,5;2558,6;23,9
15.06.2016 16:18:29;0;0;0;2547,9;2547,9;16,2
15.06.2016 16:18:30;0;0;1,9;2541,5;2541,5;0
15.06.2016 16:18:31;0;0;7,2;2550,1;2550,1;0
15.06.2016 16:18:32;0;0;0;2561,4;2561,4;7,9
15.06.2016 16:18:33;0;0;0;2555,8;2556,6;62,5
15.06.2016 16:18:34;0;0;0;2561,4;2561,6;36,8
15.06.2016 16:18:35;0;0;0;2548,6;2549,2;57,6
15.06.2016 16:18:36;0;0;0;2546,3;2547,2;70,3
15.06.2016 16:18:37;0;0;0;2547,1;2547,3;35,7
15.06.2016 16:18:38;0;0;0;2541,2;2541,7;48,1
15.06.2016 16:18:39;0;0;0;2551,2;2551,7;47,8
15.06.2016 16:18:40;0;0;0;2554,4;2554,5;22,4
15.06.2016 16:18:41;0;0;0;2556,6;2557;46,7
15.06.2016 16:18:42;0;0;0;2548;2548,6;56,2
15.06.2016 16:18:43;0;0;0;2540;2540,3;39,5
15.06.2016 16:18:44;0;0;7,5;2546,2;2546,2;0
15.06.2016 16:18:45;0;0;19;2545,7;2545,7;0
15.06.2016 16:18:46;0;0;0;2544;2544,1;4,9
15.06.2016 16:18:47;0;0;0;2523,6;2523,8;29,9
15.06.2016 16:18:48;0;0;0;2523,8;2524,2;44,8
15.06.2016 16:18:49;0;0;0;2541,9;2542,2;36,9
15.06.2016 16:18:50;0;0;0;2540;2540,1;12,7
15.06.2016 16:18:51;0;0;16,1;2537,4;2537,4;0
15.06.2016 16:18:52;0;0;4,7;2960,1;2960,1;0
15.06.2016 16:18:53;0;0;1,6;3098,2;3098,2;0
15.06.2016 16:18:54;0;0;0;3082,7;3082,8;18,5
15.06.2016 16:18:55;0;0;0;3068,3;3068,3;10
15.06.2016 16:18:56;0;0;0,4;3056,2;3056,2;0
15.06.2016 16:18:57;0;0;19,5;3120,7;3120,8;0
15.06.2016 16:18:58;0;0;21,5;3160;3160,1;0
15.06.2016 16:18:59;0;0;20,7;3178;3178;0
15.06.2016 16:19:00;0;0;13,9;3154,2;3154,2;0
15.06.2016 16:19:01;0;0;24,2;3155,8;3155,9;0
15.06.2016 16:19:02;0;0;21,6;3167,5;3167,6;0
15.06.2016 16:19:03;0;0;24,8;3182,7;3182,8;0
15.06.2016 16:19:04;0;0;17,3;3144;3144;0
15.06.2016 16:19:05;0;0;18,1;3145,1;3145,1;0
15.06.2016 16:19:06;0;0;18,6;3135,9;3136;0
15.06.2016 16:19:07;0;0;21,9;3116,7;3116,8;0
15.06.2016 16:19:08;0;0;17,6;3134,8;3134,9;0
15.06.2016 16:19:09;0;0;20,8;3147,5;3147,6;0
15.06.2016 16:19:10;0;0;20,9;3146,9;3146,9;0
15.06.2016 16:19:11;0;0;20,9;3136,5;3136,6;0
15.06.2016 16:19:12;0;0;10,9;3126,3;3126,3;0
15.06.2016 16:19:13;0;0;0;3134,4;3134,4;1,4
15.06.2016 16:19:14;0;0;11,7;3134,3;3134,3;0
15.06.2016 16:19:15;0;0;18,7;3125,5;3125,6;0
15.06.2016 16:19:16;0;0;1,7;3124,9;3124,9;0
15.06.2016 16:19:17;0;0;0;3115;3115;7,7
15.06.2016 16:19:18;0;0;0;3130,5;3130,8;43,2
15.06.2016 16:19:19;0;0;0;3124,9;3125,8;76,8
15.06.2016 16:19:20;0;0;0;3114,9;3116;81,2
15.06.2016 16:19:21;0;0;0;3132,4;3133,2;74,2
15.06.2016 16:19:22;0;0;0;3129;3129,2;40,3
15.06.2016 16:19:23;0;0;7,8;3125,8;3125,8;0
15.06.2016 16:19:24;0;0;0;3106;3106;3,6
15.06.2016 16:19:25;0;0;0;3103,1;3103,1;7,5
15.06.2016 16:19:26;0;0;0;3112;3112;7,6
15.06.2016 16:19:27;0;0;0,7;3110,6;3110,6;0
15.06.2016 16:19:28;0;0;14,1;3114,9;3115;0
15.06.2016 16:19:29;0;0;15,1;3112,9;3112,9;0
15.06.2016 16:19:30;0;0;17,4;3106;3106,1;0
15.06.2016 16:19:31;0;0;20,2;3110,1;3110,2;0
15.06.2016 16:19:32;0;0;19,6;3096;3096,1;0
15.06.2016 16:19:33;0;0;16,6;3102,1;3102,2;0
15.06.2016 16:19:34;0;0;18;3099;3099,1;0
15.06.2016 16:19:35;0;0;19,3;3106,9;3107;0
15.06.2016 16:19:36;0;0;14,6;3096,6;3096,6;0
15.06.2016 16:19:37;0;0;11,7;3083,6;3083,6;0
15.06.2016 16:19:38;0;0;16,8;3088,9;3089;0
15.06.2016 16:19:39;0;0;19;3102,1;3102,1;0
15.06.2016 16:19:40;0;0;0;3113,9;3113,9;0,7
15.06.2016 16:19:41;0;0;0;3102,1;3102,1;12,1
15.06.2016 16:19:42;0;0;4,5;3091,1;3091,1;0
15.06.2016 16:19:43;0;0;7,1;3092,7;3092,7;0
15.06.2016 16:19:44;0;0;14,3;3104;3104;0
15.06.2016 16:19:45;0;0;9,3;3097,5;3097,5;0
15.06.2016 16:19:46;0;0;15,5;3098,8;3098,8;0
15.06.2016 16:19:47;0;0;18,7;3094,7;3094,8;0
15.06.2016 16:19:48;0;0;19,9;3096,1;3096,1;0
15.06.2016 16:19:49;0;0;15,3;3091,9;3092;0
15.06.2016 16:19:50;0;0;11,8;3079,8;3079,8;0
15.06.2016 16:19:51;0;0;18,6;3103,8;3103,8;0
15.06.2016 16:19:52;0;0;19,6;3103,4;3103,5;0
15.06.2016 16:19:53;0;0;20;3110,3;3110,4;0
15.06.2016 16:19:54;0;0;9,5;3099,1;3099,1;0
15.06.2016 16:19:55;0;0;10,6;3085;3085,1;0
15.06.2016 16:19:56;0;0;17,6;3094,8;3094,9;0
15.06.2016 16:19:57;0;0;18,3;3093,9;3094;0
15.06.2016 16:19:58;0;0;18,3;3090,8;3090,8;0
15.06.2016 16:19:59;0;0;17,2;3108;3108,1;0
15.06.2016 16:20:00;0;0;12,6;3113,1;3113,1;0
15.06.2016 16:20:01;0;0;4,4;3108,1;3108,1;0
15.06.2016 16:20:02;0;0;5,5;3093,7;3093,7;0
15.06.2016 16:20:03;0;0;0;3095,8;3095,8;2
15.06.2016 16:20:04;0;0;6,7;3122;3122;0
15.06.2016 16:20:05;0;0;0;3090,9;3090,9;4,4
15.06.2016 16:20:06;0;0;0;3114,4;3114,5;12,4
15.06.2016 16:20:07;0;0;0;3084,5;3085,4;71,1
15.06.2016 16:20:08;0;0;0;3061,3;3063,1;103,4
15.06.2016 16:20:09;0;0;0;3076,2;3077,1;76,9
15.06.2016 16:20:10;0;0;0;3087,8;3088,9;81,5
15.06.2016 16:20:11;0;0;0;3115,3;3116,4;80,5
15.06.2016 16:20:12;0;0;0;3097,5;3097,8;37,7
15.06.2016 16:20:13;0;0;0;3130,1;3130,5;46,9
15.06.2016 16:20:14;0;0;0;3136,7;3137,2;57,7
15.06.2016 16:20:15;0;0;0;3103,8;3104;38,2
15.06.2016 16:20:16;0;0;0;3103,1;3103,2;31
15.06.2016 16:20:17;0;0;0;3120,4;3120,4;12,3
15.06.2016 16:20:18;0;0;0;3115,4;3115,6;27,7
15.06.2016 16:20:19;0;0;0;3129,9;3130,1;35
15.06.2016 16:20:20;0;0;0;3125,5;3125,6;23,8
15.06.2016 16:20:21;0;0;0;3107;3107,1;20,2
15.06.2016 16:20:22;0;0;2,6;3120,7;3120,7;0
15.06.2016 16:20:23;0;0;15;3113;3113;0
15.06.2016 16:20:24;0;0;15,2;3106,1;3106,2;0
15.06.2016 16:20:25;0;0;15,5;3101,8;3101,8;0
15.06.2016 16:20:26;0;0;5,1;3102,1;3102,1;0
15.06.2016 16:20:27;0;0;8,5;3083,3;3083,3;0
15.06.2016 16:20:28;0;0;16,4;3081,9;3082;0
15.06.2016 16:20:29;0;0;16,6;3109,1;3109,1;0
15.06.2016 16:20:30;0;0;13,3;3116,5;3116,5;0
15.06.2016 16:20:31;0;0;10,6;3082,5;3082,5;0
15.06.2016 16:20:32;0;0;7,3;3092;3092;0
15.06.2016 16:20:33;0;0;10,2;3095,6;3095,7;0
15.06.2016 16:20:34;0;0;8,6;3096,1;3096,1;0
15.06.2016 16:20:35;0;0;6,7;3120,3;3120,3;0
15.06.2016 16:20:36;0;0;10,9;3121;3121;0
15.06.2016 16:20:37;0;0;6,4;3111,9;3111,9;0
15.06.2016 16:20:38;0;0;0;3096,5;3096,5;3,4
15.06.2016 16:20:39;0;0;0;3085,8;3085,8;5,2
15.06.2016 16:20:40;0;0;0;3125,4;3125,4;3,7
15.06.2016 16:20:41;0;0;0;3130,3;3130,3;17,4
15.06.2016 16:20:42;0;0;0;3163,1;3163,2;19,4
15.06.2016 16:20:43;0;0;0;3140,1;3140,2;24,7
15.06.2016 16:20:44;0;0;0;3131,7;3131,8;19,1
15.06.2016 16:20:45;0;0;0;3161,3;3161,5;37,2
15.06.2016 16:20:46;0;0;0;3168,2;3168,4;34,1
15.06.2016 16:20:47;0;0;0;3163,7;3163,8;25,6
15.06.2016 16:20:48;0;0;0;3148,4;3148,6;30,4
15.06.2016 16:20:49;0;0;0;3144,9;3144,9;6,7
15.06.2016 16:20:50;0;0;0;3135,8;3135,9;16,7
15.06.2016 16:20:51;0;0;0;3069,6;3069,6;11,8
15.06.2016 16:20:52;0;0;0;3075,3;3075,3;1,6
15.06.2016 16:20:53;0;0;0;3068,7;3068,7;6,1
15.06.2016 16:20:54;0;0;0;3072;3072;0,5
15.06.2016 16:20:55;0;0;0;3051,3;3051,3;6
15.06.2016 16:20:56;0;0;0;3068,8;3068,8;16,3
15.06.2016 16:20:57;0;0;5,9;3069,4;3069,4;0
15.06.2016 16:20:58;0;0;2,2;3067,7;3067,7;0
15.06.2016 16:20:59;0;0;0;3062,1;3062,1;8,2
15.06.2016 16:21:00;0;0;0;3051,4;3051,6;35,4
15.06.2016 16:21:01;0;0;0;3068,3;3068,6;43,5
15.06.2016 16:21:02;0;0;0;3081,3;3082,2;72
15.06.2016 16:21:03;0;0;0;3005,7;3005,8;22,8
15.06.2016 16:21:04;0;0;0;3006,1;3006,1;0,7
15.06.2016 16:21:05;0;0;0;2714,5;2714,6;4,7
15.06.2016 16:21:06;0;0;0;2897,2;2897,2;17,7
15.06.2016 16:21:07;0;0;0;3063,7;3063,8;16,6
15.06.2016 16:21:08;0;0;0;3051,4;3051,8;51
15.06.2016 16:21:09;0;0;0;3046,8;3047,1;44,5
15.06.2016 16:21:10;0;0;0;3045,6;3045,7;25,4
15.06.2016 16:21:11;0;0;0;3052,4;3052,4;11,1
15.06.2016 16:21:12;0;0;3,6;3041,6;3041,6;0
15.06.2016 16:21:13;0;0;2,9;3043,9;3043,9;0
15.06.2016 16:21:14;0;0;14,1;3042,9;3043;0
15.06.2016 16:21:15;0;0;9,1;3047;3047;0
15.06.2016 16:21:16;0;0;9,3;3058,1;3058,2;0
15.06.2016 16:21:17;0;0;8,6;3049,1;3049,1;0
15.06.2016 16:21:18;0;0;15,6;3061,5;3061,5;0
15.06.2016 16:21:19;0;0;15,9;3040,9;3040,9;0
15.06.2016 16:21:20;0;0;10,6;3097,2;3097,2;0
15.06.2016 16:21:21;0;0;12,1;3095,6;3095,6;0
15.06.2016 16:21:22;0;0;14,1;3095,9;3096;0
15.06.2016 16:21:23;0;0;18,9;3078,5;3078,5;0
15.06.2016 16:21:24;0;0;20,6;3089,6;3089,7;0
15.06.2016 16:21:25;0;0;21,7;3098,1;3098,2;0
15.06.2016 16:21:26;0;0;12,4;3102,4;3102,5;0
15.06.2016 16:21:27;0;0;13,6;3089,7;3089,7;0
15.06.2016 16:21:28;0;0;9,7;3091;3091;0
15.06.2016 16:21:29;0;0;5,1;3090,7;3090,7;0
15.06.2016 16:21:30;0;0;0;3093,4;3093,5;25,8
15.06.2016 16:21:31;0;0;0;3087,2;3087,2;8,1
15.06.2016 16:21:32;0;0;0;3052,9;3053,5;63,4
15.06.2016 16:21:33;0;0;0;3098,3;3098,7;45,5
15.06.2016 16:21:34;0;0;0;3101,4;3101,5;14,9
15.06.2016 16:21:35;0;0;0;3104,6;3104,7;24,2
15.06.2016 16:21:36;0;0;0;3097,9;3098,1;35,1
15.06.2016 16:21:37;0;0;0;3045,5;3045,9;44,3
15.06.2016 16:21:38;0;0;0;3044,3;3044,8;56,3
15.06.2016 16:21:39;0;0;0;3037;3037,1;23,7
15.06.2016 16:21:40;0;0;0;3086,8;3086,9;23,1
15.06.2016 16:21:41;0;0;0;3078,8;3078,9;12,7
15.06.2016 16:21:42;0;0;0;3095,8;3095,9;33,5
15.06.2016 16:21:43;0;0;0;3091,8;3092;34,6
15.06.2016 16:21:44;0;0;0;3092,9;3093,1;36,5
15.06.2016 16:21:45;0;0;0;3093,6;3093,8;39,1
15.06.2016 16:21:46;0;0;5,1;3101,5;3101,5;0
15.06.2016 16:21:47;0;0;13,9;3101,9;3101,9;0
15.06.2016 16:21:48;0;0;18,7;3105,1;3105,1;0
15.06.2016 16:21:49;0;0;18,9;3109,7;3109,8;0
15.06.2016 16:21:50;0;0;19,4;3110,3;3110,4;0
